ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0009266,response to temperature stimulus,7/37,233/18866,3.01E-07,0.000318235,0.000256779,3310/1410/3304/3320/3066/133/27344,7
BP,GO:0034605,cellular response to heat,5/37,125/18866,4.33E-06,0.002292441,0.001849736,3310/1410/3304/3320/3066,5
BP,GO:0042026,protein refolding,3/37,23/18866,1.20E-05,0.004221242,0.003406056,3310/3304/3320,3
BP,GO:0009408,response to heat,5/37,166/18866,1.72E-05,0.004558463,0.003678155,3310/1410/3304/3320/3066,5
BP,GO:0031647,regulation of protein stability,6/37,296/18866,2.19E-05,0.004618762,0.00372681,1410/3304/51100/3320/6125/811,6
BP,GO:0006986,response to unfolded protein,5/37,183/18866,2.76E-05,0.004618762,0.00372681,3310/3304/3320/58477/811,5
BP,GO:0050821,protein stabilization,5/37,187/18866,3.06E-05,0.004618762,0.00372681,1410/3304/3320/6125/811,5
BP,GO:0035966,response to topologically incorrect protein,5/37,205/18866,4.74E-05,0.006267562,0.005057201,3310/3304/3320/58477/811,5
BP,GO:0006457,protein folding,5/37,230/18866,8.18E-05,0.009611238,0.007755163,3310/1410/3304/3320/811,5
BP,GO:0009409,response to cold,3/37,48/18866,0.000113016,0.011957047,0.00964796,3320/133/27344,3
BP,GO:0034620,cellular response to unfolded protein,4/37,146/18866,0.000186379,0.017926257,0.014464426,3310/3304/58477/811,4
BP,GO:0072711,cellular response to hydroxyurea,2/37,12/18866,0.000243971,0.021510154,0.017356218,5888/8914,2
BP,GO:0072710,response to hydroxyurea,2/37,13/18866,0.000287974,0.02300503,0.018562411,5888/8914,2
BP,GO:0035967,cellular response to topologically incorrect protein,4/37,166/18866,0.000304414,0.02300503,0.018562411,3310/3304/58477/811,4
BP,GO:1900034,regulation of cellular response to heat,3/37,79/18866,0.000495559,0.034953398,0.028203369,1410/3304/3320,3
BP,GO:0010460,positive regulation of heart rate,2/37,28/18866,0.001369948,0.090587799,0.073093926,3784/133,2
BP,GO:0071480,cellular response to gamma radiation,2/37,30/18866,0.001572642,0.097873808,0.078972897,5888/1410,2
BP,GO:0051085,chaperone cofactor-dependent protein refolding,2/37,32/18866,0.001788754,0.104222054,0.084095201,3310/3304,2
BP,GO:0003014,renal system process,3/37,125/18866,0.001871663,0.104222054,0.084095201,10699/3784/133,3
BP,GO:0016486,peptide hormone processing,2/37,35/18866,0.00213786,0.105276239,0.084945806,10699/27344,2
BP,GO:0140448,signaling receptor ligand precursor processing,2/37,35/18866,0.00213786,0.105276239,0.084945806,10699/27344,2
BP,GO:0071824,protein-DNA complex subunit organization,4/37,282/18866,0.002189109,0.105276239,0.084945806,5888/8208/2186/5757,4
BP,GO:0051084,'de novo' posttranslational protein folding,2/37,37/18866,0.002387072,0.109805334,0.088600264,3310/3304,2
BP,GO:0006458,'de novo' protein folding,2/37,41/18866,0.002924585,0.128925461,0.104028006,3310/3304,2
BP,GO:0045823,positive regulation of heart contraction,2/37,43/18866,0.003212684,0.130731542,0.105485306,3784/133,2
BP,GO:0046717,acid secretion,2/37,43/18866,0.003212684,0.130731542,0.105485306,5244/3784,2
BP,GO:0045005,DNA-dependent DNA replication maintenance of fidelity,2/37,44/18866,0.003361526,0.131722025,0.106284511,5888/8914,2
BP,GO:0010569,regulation of double-strand break repair via homologous recombination,2/37,47/18866,0.003827071,0.144608626,0.116682515,5888/8914,2
BP,GO:0002478,antigen processing and presentation of exogenous peptide antigen,3/37,177/18866,0.004991085,0.182088543,0.146924493,50856/3108/811,3
BP,GO:0010332,response to gamma radiation,2/37,56/18866,0.005392021,0.186547933,0.150522708,5888/1410,2
BP,GO:0034728,nucleosome organization,3/37,183/18866,0.005474938,0.186547933,0.150522708,8208/2186/5757,3
BP,GO:0019884,antigen processing and presentation of exogenous antigen,3/37,185/18866,0.005642282,0.186547933,0.150522708,50856/3108/811,3
BP,GO:0061077,chaperone-mediated protein folding,2/37,60/18866,0.006166915,0.194777372,0.157162918,3310/3304,2
BP,GO:0048002,antigen processing and presentation of peptide antigen,3/37,194/18866,0.006433361,0.194777372,0.157162918,50856/3108/811,3
BP,GO:0007565,female pregnancy,3/37,196/18866,0.006617695,0.194777372,0.157162918,10699/133/811,3
BP,GO:0043112,receptor metabolic process,3/37,198/18866,0.006805165,0.194777372,0.157162918,51100/3066/133,3
BP,GO:0031331,positive regulation of cellular catabolic process,4/37,390/18866,0.006931462,0.194777372,0.157162918,3304/51100/3320/26986,4
BP,GO:0051054,positive regulation of DNA metabolic process,3/37,200/18866,0.006995785,0.194777372,0.157162918,5888/8914/3320,3
BP,GO:0042493,response to drug,4/37,397/18866,0.007372618,0.197389774,0.159270826,5888/3784/3066/811,4
BP,GO:0050766,positive regulation of phagocytosis,2/37,68/18866,0.007859216,0.197389774,0.159270826,55646/811,2
BP,GO:0071479,cellular response to ionizing radiation,2/37,68/18866,0.007859216,0.197389774,0.159270826,5888/1410,2
BP,GO:0031396,regulation of protein ubiquitination,3/37,211/18866,0.008101061,0.197389774,0.159270826,3304/3320/6125,3
BP,GO:0006338,chromatin remodeling,3/37,218/18866,0.008855169,0.197389774,0.159270826,3066/2186/5757,3
BP,GO:0042445,hormone metabolic process,3/37,221/18866,0.009190592,0.197389774,0.159270826,10699/133/27344,3
BP,GO:0071241,cellular response to inorganic substance,3/37,221/18866,0.009190592,0.197389774,0.159270826,5888/8914/811,3
BP,GO:1903524,positive regulation of blood circulation,2/37,76/18866,0.009736553,0.197389774,0.159270826,3784/133,2
BP,GO:0044706,multi-multicellular organism process,3/37,226/18866,0.009766072,0.197389774,0.159270826,10699/133/811,3
BP,GO:0006364,rRNA processing,3/37,227/18866,0.009883645,0.197389774,0.159270826,55646/54853/6125,3
BP,GO:0043900,regulation of multi-organism process,2/37,78/18866,0.01023411,0.197389774,0.159270826,3066/811,2
BP,GO:0019882,antigen processing and presentation,3/37,232/18866,0.010483968,0.197389774,0.159270826,50856/3108/811,3
BP,GO:0031397,negative regulation of protein ubiquitination,2/37,80/18866,0.010742775,0.197389774,0.159270826,3304/6125,2
BP,GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I,2/37,80/18866,0.010742775,0.197389774,0.159270826,50856/811,2
BP,GO:0006605,protein targeting,4/37,444/18866,0.010822833,0.197389774,0.159270826,51100/3320/58477/6125,4
BP,GO:0010833,telomere maintenance via telomere lengthening,2/37,81/18866,0.011001244,0.197389774,0.159270826,5888/3320,2
BP,GO:0016072,rRNA metabolic process,3/37,238/18866,0.011231904,0.197389774,0.159270826,55646/54853/6125,3
BP,GO:0043254,regulation of protein-containing complex assembly,4/37,449/18866,0.011242073,0.197389774,0.159270826,1410/3304/51100/3320,4
BP,GO:0009896,positive regulation of catabolic process,4/37,454/18866,0.011671733,0.197389774,0.159270826,3304/51100/3320/26986,4
BP,GO:1903320,regulation of protein modification by small protein conjugation or removal,3/37,242/18866,0.01174733,0.197389774,0.159270826,3304/3320/6125,3
BP,GO:2000779,regulation of double-strand break repair,2/37,85/18866,0.012062444,0.197389774,0.159270826,5888/8914,2
BP,GO:0001892,embryonic placenta development,2/37,89/18866,0.013166826,0.197389774,0.159270826,133/2186,2
BP,GO:0043044,ATP-dependent chromatin remodeling,2/37,90/18866,0.013449586,0.197389774,0.159270826,3066/5757,2
BP,GO:0008016,regulation of heart contraction,3/37,256/18866,0.01365815,0.197389774,0.159270826,10699/3784/133,3
BP,GO:0042475,odontogenesis of dentin-containing tooth,2/37,91/18866,0.01373499,0.197389774,0.159270826,3066/133,2
BP,GO:0031334,positive regulation of protein-containing complex assembly,3/37,257/18866,0.013801037,0.197389774,0.159270826,3304/51100/3320,3
BP,GO:1903321,negative regulation of protein modification by small protein conjugation or removal,2/37,92/18866,0.014023028,0.197389774,0.159270826,3304/6125,2
BP,GO:1903362,regulation of cellular protein catabolic process,3/37,260/18866,0.014234846,0.197389774,0.159270826,3304/3320/6125,3
BP,GO:0022613,ribonucleoprotein complex biogenesis,4/37,482/18866,0.014274741,0.197389774,0.159270826,55646/54853/3320/6125,4
BP,GO:0043312,neutrophil degranulation,4/37,487/18866,0.014775465,0.197389774,0.159270826,3310/1675/3304/3320,4
BP,GO:0003073,regulation of systemic arterial blood pressure,2/37,95/18866,0.014902831,0.197389774,0.159270826,10699/133,2
BP,GO:0002283,neutrophil activation involved in immune response,4/37,490/18866,0.015081219,0.197389774,0.159270826,3310/1675/3304/3320,4
BP,GO:0050764,regulation of phagocytosis,2/37,97/18866,0.015502335,0.197389774,0.159270826,55646/811,2
BP,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,2/37,99/18866,0.016112114,0.197389774,0.159270826,50856/811,2
BP,GO:0006626,protein targeting to mitochondrion,2/37,99/18866,0.016112114,0.197389774,0.159270826,51100/3320,2
BP,GO:0006260,DNA replication,3/37,273/18866,0.016204326,0.197389774,0.159270826,5888/8208/8914,3
BP,GO:0002027,regulation of heart rate,2/37,104/18866,0.017680954,0.197389774,0.159270826,3784/133,2
BP,GO:0043279,response to alkaloid,2/37,104/18866,0.017680954,0.197389774,0.159270826,5888/3066,2
BP,GO:0071868,cellular response to monoamine stimulus,2/37,106/18866,0.018326026,0.197389774,0.159270826,3784/3066,2
BP,GO:0071870,cellular response to catecholamine stimulus,2/37,106/18866,0.018326026,0.197389774,0.159270826,3784/3066,2
BP,GO:0060047,heart contraction,3/37,287/18866,0.018489303,0.197389774,0.159270826,10699/3784/133,3
BP,GO:0000018,regulation of DNA recombination,2/37,107/18866,0.018652277,0.197389774,0.159270826,5888/8914,2
BP,GO:0034975,protein folding in endoplasmic reticulum,1/37,10/18866,0.019444416,0.197389774,0.159270826,811,1
BP,GO:0036500,ATF6-mediated unfolded protein response,1/37,10/18866,0.019444416,0.197389774,0.159270826,811,1
BP,GO:0043587,tongue morphogenesis,1/37,10/18866,0.019444416,0.197389774,0.159270826,3066,1
BP,GO:0070424,regulation of nucleotide-binding oligomerization domain containing signaling pathway,1/37,10/18866,0.019444416,0.197389774,0.159270826,3304,1
BP,GO:2000786,positive regulation of autophagosome assembly,1/37,10/18866,0.019444416,0.197389774,0.159270826,51100,1
BP,GO:0051604,protein maturation,3/37,293/18866,0.019520947,0.197389774,0.159270826,10699/27344/811,3
BP,GO:0032680,regulation of tumor necrosis factor production,2/37,110/18866,0.019645772,0.197389774,0.159270826,50856/3066,2
BP,GO:0071867,response to monoamine,2/37,110/18866,0.019645772,0.197389774,0.159270826,3784/3066,2
BP,GO:0071869,response to catecholamine,2/37,110/18866,0.019645772,0.197389774,0.159270826,3784/3066,2
BP,GO:0003015,heart process,3/37,297/18866,0.020226222,0.197389774,0.159270826,10699/3784/133,3
BP,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,2/37,113/18866,0.020661158,0.197389774,0.159270826,50856/3066,2
BP,GO:1903522,regulation of blood circulation,3/37,303/18866,0.021310443,0.197389774,0.159270826,10699/3784/133,3
BP,GO:0048102,autophagic cell death,1/37,11/18866,0.021368502,0.197389774,0.159270826,51100,1
BP,GO:0070933,histone H4 deacetylation,1/37,11/18866,0.021368502,0.197389774,0.159270826,3066,1
BP,GO:0090084,negative regulation of inclusion body assembly,1/37,11/18866,0.021368502,0.197389774,0.159270826,3304,1
BP,GO:0099624,atrial cardiac muscle cell membrane repolarization,1/37,11/18866,0.021368502,0.197389774,0.159270826,3784,1
BP,GO:1903265,positive regulation of tumor necrosis factor-mediated signaling pathway,1/37,11/18866,0.021368502,0.197389774,0.159270826,3304,1
BP,GO:1905168,positive regulation of double-strand break repair via homologous recombination,1/37,11/18866,0.021368502,0.197389774,0.159270826,8914,1
BP,GO:2001138,regulation of phospholipid transport,1/37,11/18866,0.021368502,0.197389774,0.159270826,5244,1
BP,GO:2001140,positive regulation of phospholipid transport,1/37,11/18866,0.021368502,0.197389774,0.159270826,5244,1
BP,GO:0032640,tumor necrosis factor production,2/37,116/18866,0.02169816,0.197389774,0.159270826,50856/3066,2
BP,GO:0031109,microtubule polymerization or depolymerization,2/37,117/18866,0.022048583,0.197389774,0.159270826,1410/3304,2
BP,GO:0042254,ribosome biogenesis,3/37,310/18866,0.022615319,0.197389774,0.159270826,55646/54853/6125,3
BP,GO:0071706,tumor necrosis factor superfamily cytokine production,2/37,119/18866,0.022756502,0.197389774,0.159270826,50856/3066,2
BP,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",2/37,120/18866,0.023113978,0.197389774,0.159270826,6125/26986,2
BP,GO:0045047,protein targeting to ER,2/37,120/18866,0.023113978,0.197389774,0.159270826,58477/6125,2
BP,GO:0002468,dendritic cell antigen processing and presentation,1/37,12/18866,0.023288914,0.197389774,0.159270826,50856,1
BP,GO:0044090,positive regulation of vacuole organization,1/37,12/18866,0.023288914,0.197389774,0.159270826,51100,1
BP,GO:0060213,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,1/37,12/18866,0.023288914,0.197389774,0.159270826,26986,1
BP,GO:0060453,regulation of gastric acid secretion,1/37,12/18866,0.023288914,0.197389774,0.159270826,3784,1
BP,GO:0060670,branching involved in labyrinthine layer morphogenesis,1/37,12/18866,0.023288914,0.197389774,0.159270826,133,1
BP,GO:0060788,ectodermal placode formation,1/37,12/18866,0.023288914,0.197389774,0.159270826,3066,1
BP,GO:0071468,cellular response to acidic pH,1/37,12/18866,0.023288914,0.197389774,0.159270826,342372,1
BP,GO:0071697,ectodermal placode morphogenesis,1/37,12/18866,0.023288914,0.197389774,0.159270826,3066,1
BP,GO:2001214,positive regulation of vasculogenesis,1/37,12/18866,0.023288914,0.197389774,0.159270826,133,1
BP,GO:0030218,erythrocyte differentiation,2/37,121/18866,0.023473786,0.197389774,0.159270826,55646/3304,2
BP,GO:0007568,aging,3/37,319/18866,0.024356301,0.197389774,0.159270826,1410/133/811,3
BP,GO:0072599,establishment of protein localization to endoplasmic reticulum,2/37,124/18866,0.024567093,0.197389774,0.159270826,58477/6125,2
BP,GO:0030968,endoplasmic reticulum unfolded protein response,2/37,125/18866,0.024936124,0.197389774,0.159270826,58477/811,2
BP,GO:0000722,telomere maintenance via recombination,1/37,13/18866,0.025205659,0.197389774,0.159270826,5888,1
BP,GO:0010870,positive regulation of receptor biosynthetic process,1/37,13/18866,0.025205659,0.197389774,0.159270826,3066,1
BP,GO:0032352,positive regulation of hormone metabolic process,1/37,13/18866,0.025205659,0.197389774,0.159270826,133,1
BP,GO:0042921,glucocorticoid receptor signaling pathway,1/37,13/18866,0.025205659,0.197389774,0.159270826,811,1
BP,GO:0061000,negative regulation of dendritic spine development,1/37,13/18866,0.025205659,0.197389774,0.159270826,3066,1
BP,GO:0061029,eyelid development in camera-type eye,1/37,13/18866,0.025205659,0.197389774,0.159270826,3066,1
BP,GO:0071696,ectodermal placode development,1/37,13/18866,0.025205659,0.197389774,0.159270826,3066,1
